,card_played,hand_result,player,trump_card,card_led,player_bid,player_tricks_taken,player_hand,total_bids,total_tricks_taken,all_cards_played,hand_number,cards_played_trick
0,4S,,Jack,9H,"('Jack', '4S')",3,0,"['JC', 'AD', '0H', 'JS', '3D', '2H', 'AC', '4H', '0S']",12,0,"{10: [('Jack', '4S')]}",10,"[('Jack', '4S')]"
1,8S,1,Kelly,9H,"('Jack', '4S')",3,0,"['QD', 'KH', '6H', '6C', '5C', 'KC', '2S', 'KD', 'AH']",12,0,"{10: [('Jack', '4S'), ('Kelly', '8S')]}",10,"[('Jack', '4S'), ('Kelly', '8S')]"
2,7S,,Tim,9H,"('Jack', '4S')",3,0,"['7H', '3H', 'QC', '7D', '9C', 'QS', '4C', 'JH', 'JD']",12,0,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S')]}",10,"[('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S')]"
3,6S,1,Mom,9H,"('Jack', '4S')",1,0,"['0C', 'AS', '2D', '3S', '0D', 'KS', 'QH', '5D', '8D']",12,0,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S')]}",10,"[('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S')]"
4,9S,,Dad,9H,"('Jack', '4S')",2,0,"['3C', '4D', '8H', '5H', '9D', '6D', '8C', '7C', '5S']",12,0,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S')]}",10,"[('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S')]"
5,5S,,Dad,9H,"('Dad', '5S')",2,1,"['3C', '4D', '8H', '5H', '9D', '6D', '8C', '7C']",12,1,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S')]}",10,"[('Dad', '5S')]"
6,JS,,Jack,9H,"('Dad', '5S')",3,0,"['JC', 'AD', '0H', '3D', '2H', 'AC', '4H', '0S']",12,1,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS')]}",10,"[('Dad', '5S'), ('Jack', 'JS')]"
7,2S,1,Kelly,9H,"('Dad', '5S')",3,0,"['QD', 'KH', '6H', '6C', '5C', 'KC', 'KD', 'AH']",12,1,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S')]}",10,"[('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S')]"
8,QS,,Tim,9H,"('Dad', '5S')",3,0,"['7H', '3H', 'QC', '7D', '9C', '4C', 'JH', 'JD']",12,1,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS')]}",10,"[('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS')]"
9,AS,1,Mom,9H,"('Dad', '5S')",1,0,"['0C', '2D', '3S', '0D', 'KS', 'QH', '5D', '8D']",12,1,"{10: [('Jack', '4S'), ('Kelly', '8S'), ('Tim', '7S'), ('Mom', '6S'), ('Dad', '9S'), ('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS')]}",10,"[('Dad', '5S'), ('Jack', 'JS'), ('Kelly', '2S'), ('Tim', 'QS'), ('Mom', 'AS')]"
